haul_id	proportion_name	Autumn_%	North_%	Central_%	South_%	Actual_A_count	Actual_N_count	Actual_C_count	Actual_S_count
haul_0322	0A_47N_5C_48S	0	47	5	48	0	14	2	14
haul_0323	0A_47N_5C_48S	0	47	5	48	0	14	2	14
haul_0324	0A_47N_5C_48S	0	47	5	48	0	14	2	14
haul_0325	0A_47N_5C_48S	0	47	5	48	0	14	2	14
haul_0326	0A_47N_5C_48S	0	47	5	48	0	14	2	14
haul_0327	0A_47N_5C_48S	0	47	5	48	0	14	2	14
haul_0328	0A_47N_5C_48S	0	47	5	48	0	14	2	14
haul_0329	0A_47N_5C_48S	0	47	5	48	0	14	2	14
haul_0330	0A_47N_5C_48S	0	47	5	48	0	14	2	14
haul_0331	0A_50N_0C_50S	0	50	0	50	0	15	0	15
haul_0332	0A_50N_0C_50S	0	50	0	50	0	15	0	15
haul_0333	0A_50N_0C_50S	0	50	0	50	0	15	0	15
haul_0334	0A_50N_0C_50S	0	50	0	50	0	15	0	15
haul_0335	0A_50N_0C_50S	0	50	0	50	0	15	0	15
haul_0336	0A_50N_0C_50S	0	50	0	50	0	15	0	15
haul_0337	0A_50N_0C_50S	0	50	0	50	0	15	0	15
haul_0338	0A_50N_0C_50S	0	50	0	50	0	15	0	15
haul_0339	0A_50N_0C_50S	0	50	0	50	0	15	0	15
haul_0340	0A_50N_0C_50S	0	50	0	50	0	15	0	15
haul_0341	0A_38N_38C_25S	0	38	38	25	0	11	11	8
haul_0342	0A_38N_38C_25S	0	38	38	25	0	11	11	8
haul_0343	0A_38N_38C_25S	0	38	38	25	0	11	11	8
haul_0344	0A_38N_38C_25S	0	38	38	25	0	11	11	8
haul_0345	0A_38N_38C_25S	0	38	38	25	0	11	11	8
haul_0346	0A_38N_38C_25S	0	38	38	25	0	11	11	8
haul_0347	0A_38N_38C_25S	0	38	38	25	0	11	11	8
haul_0348	0A_38N_38C_25S	0	38	38	25	0	11	11	8
haul_0349	0A_38N_38C_25S	0	38	38	25	0	11	11	8
haul_0350	0A_38N_38C_25S	0	38	38	25	0	11	11	8
haul_0351	0A_43N_42C_15S	0	43	42	15	0	13	13	4
haul_0352	0A_43N_42C_15S	0	43	42	15	0	13	13	4
haul_0353	0A_43N_42C_15S	0	43	42	15	0	13	13	4
haul_0354	0A_43N_42C_15S	0	43	42	15	0	13	13	4
haul_0355	0A_43N_42C_15S	0	43	42	15	0	13	13	4
haul_0356	0A_43N_42C_15S	0	43	42	15	0	13	13	4
haul_0357	0A_43N_42C_15S	0	43	42	15	0	13	13	4
haul_0358	0A_43N_42C_15S	0	43	42	15	0	13	13	4
haul_0359	0A_43N_42C_15S	0	43	42	15	0	13	13	4
haul_0360	0A_43N_42C_15S	0	43	42	15	0	13	13	4
haul_0361	0A_48N_47C_5S	0	48	47	5	0	14	14	2
haul_0362	0A_48N_47C_5S	0	48	47	5	0	14	14	2
haul_0363	0A_48N_47C_5S	0	48	47	5	0	14	14	2
haul_0364	0A_48N_47C_5S	0	48	47	5	0	14	14	2
haul_0365	0A_48N_47C_5S	0	48	47	5	0	14	14	2
haul_0366	0A_48N_47C_5S	0	48	47	5	0	14	14	2
